"","date","time","geo_code","crime_category","address"
"338840","09/29/2011","08:23","546-05","Sex Offenses","1300 BEECH ,URBANA,IL"
"339313","10/10/2011","22:00","547-05","Sex Offenses","900 N BROADWAY ,URBANA,IL"
"340152","11/01/2011","00:01","605-15","Sex Offenses","900 HARMON ST ,URBANA,IL"
"340172","11/01/2011","11:00","577-09","Sex Offenses","2000 E VERMONT ,URBANA,IL"
"340173","11/01/2011","13:00","547-02","Sex Offenses","1200 DIVISION ,URBANA,IL"
"340558","11/13/2011","23:48","575-03","Sex Offenses","800 W GREEN ,URBANA,IL"
"340614","11/15/2011","16:00","576-09","Sex Offenses","1100 W FAIRVIEW ,URBANA,IL"
"341850","12/22/2011","13:40","575-04","Sex Offenses","200 W GREEN ,URBANA,IL"
"342261","01/05/2012","00:01","547-02","Sex Offenses","1300 CUNNINGHAM ,URBANA,IL"
"342855","01/20/2012","10:45","576-09","Sex Offenses","1200 S VINE ,URBANA,IL"
"342875","01/20/2012","16:00","576-05","Sex Offenses","500 S VINE ,URBANA,IL"
"343198","01/28/2012","01:00","577-06","Sex Offenses","1800 E MICHIGAN ,URBANA,IL"
"344682","03/06/2012","08:40","548-07","Sex Offenses","1100 E UNIVERSITY ,URBANA,IL"
"344869","03/10/2012","16:00","548-10","Sex Offenses","1600 E UNIVERSITY ,URBANA,IL"
"345645","04/01/2012","00:01","545-10","Sex Offenses","200 E CLARK ,URBANA,IL"
"345647","04/01/2012","00:01","545-10","Sex Offenses","200 E CLARK ,URBANA,IL"
"348264","05/30/2012","23:22","605-07","Sex Offenses","900 E HARDING ,URBANA,IL"
"348318","06/01/2012","12:00","606-03","Sex Offenses","2500 MYRA RIDGE DR ,URBANA,IL"
"348699","06/12/2012","10:21","605-16","Sex Offenses","1100 SCOVILL ,URBANA,IL"
"348968","06/19/2012","07:00","577-08","Sex Offenses","1700 JAMES CHERRY DR ,URBANA,IL"
